value,datetime,datetime_utc,tz_time,geo_id,geo_name
116.33,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,8744,Ceuta
116.33,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,8745,Melilla
116.33,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,8742,Canarias
116.33,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,8743,Baleares
116.33,2021-06-01T00:00:00.000+02:00,2021-05-31T22:00:00Z,2021-05-31T22:00:00.000Z,8741,Península
115.95,2021-06-01T01:00:00.000+02:00,2021-05-31T23:00:00Z,2021-05-31T23:00:00.000Z,8743,Baleares
115.95,2021-06-01T01:00:00.000+02:00,2021-05-31T23:00:00Z,2021-05-31T23:00:00.000Z,8742,Canarias
115.95,2021-06-01T01:00:00.000+02:00,2021-05-31T23:00:00Z,2021-05-31T23:00:00.000Z,8745,Melilla
115.95,2021-06-01T01:00:00.000+02:00,2021-05-31T23:00:00Z,2021-05-31T23:00:00.000Z,8741,Península
115.95,2021-06-01T01:00:00.000+02:00,2021-05-31T23:00:00Z,2021-05-31T23:00:00.000Z,8744,Ceuta
114.89,2021-06-01T02:00:00.000+02:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00.000Z,8743,Baleares
114.89,2021-06-01T02:00:00.000+02:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00.000Z,8745,Melilla
114.89,2021-06-01T02:00:00.000+02:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00.000Z,8744,Ceuta
114.89,2021-06-01T02:00:00.000+02:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00.000Z,8741,Península
114.89,2021-06-01T02:00:00.000+02:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00.000Z,8742,Canarias
114.96,2021-06-01T03:00:00.000+02:00,2021-06-01T01:00:00Z,2021-06-01T01:00:00.000Z,8744,Ceuta
114.96,2021-06-01T03:00:00.000+02:00,2021-06-01T01:00:00Z,2021-06-01T01:00:00.000Z,8743,Baleares
114.96,2021-06-01T03:00:00.000+02:00,2021-06-01T01:00:00Z,2021-06-01T01:00:00.000Z,8745,Melilla
114.96,2021-06-01T03:00:00.000+02:00,2021-06-01T01:00:00Z,2021-06-01T01:00:00.000Z,8742,Canarias
114.96,2021-06-01T03:00:00.000+02:00,2021-06-01T01:00:00Z,2021-06-01T01:00:00.000Z,8741,Península
